ds,hour,day_of_week,is_weekend,load_kg,machines_active,usage_category
2025-01-01 00:00:00,0,2,0,3.490142459033698,1,Low
2025-01-01 01:00:00,1,2,0,1.585207096486446,0,Low
2025-01-01 02:00:00,2,2,0,3.9430656143020775,1,Low
2025-01-01 03:00:00,3,2,0,6.569089569224076,1,Low
2025-01-01 04:00:00,4,2,0,1.297539875829992,0,Low
2025-01-01 05:00:00,5,2,0,1.2975891291524584,0,Low
2025-01-01 06:00:00,6,2,0,6.737638446522174,1,Low
2025-01-01 07:00:00,7,2,0,22.302304187458727,4,High
2025-01-01 08:00:00,8,2,0,18.591576842195146,4,High
2025-01-01 09:00:00,9,2,0,21.627680130757895,4,High
2025-01-01 10:00:00,10,2,0,18.609746921562614,4,High
2025-01-01 11:00:00,11,2,0,8.602810739289229,2,Medium
2025-01-01 12:00:00,12,2,0,10.725886814698102,2,Medium
2025-01-01 13:00:00,13,2,0,4.260159266026607,1,Low
2025-01-01 14:00:00,14,2,0,4.825246502460901,1,Low
2025-01-01 15:00:00,15,2,0,8.313137412277083,2,Medium
2025-01-01 16:00:00,16,2,0,6.961506638996728,1,Low
2025-01-01 17:00:00,17,2,0,10.942741997785822,2,Medium
2025-01-01 18:00:00,18,2,0,22.27592777343637,4,High
2025-01-01 19:00:00,19,2,0,20.763088895994127,4,High
2025-01-01 20:00:00,20,2,0,29.39694630676466,6,High
2025-01-01 21:00:00,21,2,0,24.322671098540393,5,High
2025-01-01 22:00:00,22,2,0,25.20258461406377,5,High
2025-01-01 23:00:00,23,2,0,0.0,0,Low
2025-01-02 00:00:00,0,3,0,0.366851826424452,0,Low
2025-01-02 01:00:00,1,3,0,2.3327677691295983,0,Low
2025-01-02 02:00:00,2,3,0,0.0,0,Low
2025-01-02 03:00:00,3,3,0,3.127094055037016,1,Low
2025-01-02 04:00:00,4,3,0,0.19808393024358506,0,Low
2025-01-02 05:00:00,5,3,0,1.1249187506201697,0,Low
2025-01-02 06:00:00,6,3,0,0.19488016331180935,0,Low
2025-01-02 07:00:00,7,3,0,25.556834553526812,5,High
2025-01-02 08:00:00,8,3,0,19.9595083257862,4,High
2025-01-02 09:00:00,9,3,0,16.8268672131323,3,Medium
2025-01-02 10:00:00,10,3,0,22.467634736309567,4,High
2025-01-02 11:00:00,11,3,0,6.337469050086933,1,Low
2025-01-02 12:00:00,12,3,0,10.626590785014265,2,Medium
2025-01-02 13:00:00,13,3,0,4.1209896283606735,1,Low
2025-01-02 14:00:00,14,3,0,6.015441853304709,1,Low
2025-01-02 15:00:00,15,3,0,10.59058370760737,2,Medium
2025-01-02 16:00:00,16,3,0,12.215399739986232,2,Medium
2025-01-02 17:00:00,17,3,0,10.514104843569912,2,Medium
2025-01-02 18:00:00,18,3,0,24.65305515283528,5,High
2025-01-02 19:00:00,19,3,0,24.096688913232132,5,High
2025-01-02 20:00:00,20,3,0,20.56443402889772,4,High
2025-01-02 21:00:00,21,3,0,22.840467374815873,5,High
2025-01-02 22:00:00,22,3,0,23.618083687120638,5,High
2025-01-02 23:00:00,23,3,0,5.171366678656748,1,Low
2025-01-03 00:00:00,0,4,0,3.0308548687053842,1,Low
2025-01-03 01:00:00,1,4,0,0.0,0,Low
2025-01-03 02:00:00,2,4,0,2.972251908184385,1,Low
2025-01-03 03:00:00,3,4,0,0.8447531587510504,0,Low
2025-01-03 04:00:00,4,4,0,0.0,0,Low
2025-01-03 05:00:00,5,4,0,3.8350288665226038,1,Low
2025-01-03 06:00:00,6,4,0,5.092998567487853,1,Low
2025-01-03 07:00:00,7,4,0,22.793840357348596,5,High
2025-01-03 08:00:00,8,4,0,17.482347430332084,3,Medium
2025-01-03 09:00:00,9,4,0,19.072362872446355,4,High
2025-01-03 10:00:00,10,4,0,20.99379029421069,4,High
2025-01-03 11:00:00,11,4,0,12.926635381367078,3,Medium
2025-01-03 12:00:00,12,4,0,8.56247728646413,2,Medium
2025-01-03 13:00:00,13,4,0,9.443023070008548,2,Medium
2025-01-03 14:00:00,14,4,0,6.680995077981915,1,Low
2025-01-03 15:00:00,15,4,0,6.411380127757988,1,Low
2025-01-03 16:00:00,16,4,0,12.437577467182594,2,Medium
2025-01-03 17:00:00,17,4,0,14.068720085712469,3,Medium
2025-01-03 18:00:00,18,4,0,24.783969635258998,5,High
2025-01-03 19:00:00,19,4,0,28.010598693676073,6,High
2025-01-03 20:00:00,20,4,0,26.084908075142902,5,High
2025-01-03 21:00:00,21,4,0,23.06464073618463,5,High
2025-01-03 22:00:00,22,4,0,26.084186816525243,5,High
2025-01-03 23:00:00,23,4,0,6.614109699397908,1,Low
2025-01-04 00:00:00,0,5,1,2.8925218826701453,1,Low
2025-01-04 01:00:00,1,5,1,7.693930967442019,2,Low
2025-01-04 02:00:00,2,5,1,0.0,0,Low
2025-01-04 03:00:00,3,5,1,5.465707513125672,1,Low
2025-01-04 04:00:00,4,5,1,3.2611412047145136,1,Low
2025-01-04 05:00:00,5,5,1,2.1029779486023976,0,Low
2025-01-04 06:00:00,6,5,1,3.275282329606507,1,Low
2025-01-04 07:00:00,7,5,1,24.037293256197323,5,High
2025-01-04 08:00:00,8,5,1,29.340984336487463,6,High
2025-01-04 09:00:00,9,5,1,31.07133771453524,6,High
2025-01-04 10:00:00,10,5,1,34.43368213422455,7,High
2025-01-04 11:00:00,11,5,1,13.445189345179058,3,Medium
2025-01-04 12:00:00,12,5,1,12.574519191320437,3,Medium
2025-01-04 13:00:00,13,5,1,13.49472886924639,3,Medium
2025-01-04 14:00:00,14,5,1,17.746206353106224,4,Medium
2025-01-04 15:00:00,15,5,1,15.986253328979053,3,Medium
2025-01-04 16:00:00,16,5,1,13.410719388698883,3,Medium
2025-01-04 17:00:00,17,5,1,16.539802299340067,3,Medium
2025-01-04 18:00:00,18,5,1,37.79123264804412,8,High
2025-01-04 19:00:00,19,5,1,40.40593497159867,8,High
2025-01-04 20:00:00,20,5,1,35.39384071836794,7,High
2025-01-04 21:00:00,21,5,1,36.51701356020669,7,High
2025-01-04 22:00:00,22,5,1,36.323675540603524,7,High
2025-01-04 23:00:00,23,5,1,0.0,0,Low
