Datetime,Energy_Usage_kWh,Is_Exam
2020-01-01 00:00:00,886.517506849319,0
2020-01-01 01:00:00,861.4379862797994,0
2020-01-01 02:00:00,904.2448049562483,0
2020-01-01 03:00:00,938.3768579913126,0
2020-01-01 04:00:00,826.8025955112612,0
2020-01-01 05:00:00,947.4283287697017,0
2020-01-01 06:00:00,1008.0272829157188,0
2020-01-01 07:00:00,804.7142227414432,0
2020-01-01 08:00:00,906.5814716726838,0
2020-01-01 09:00:00,913.8988654926663,0
2020-01-01 10:00:00,862.4484282705861,0
2020-01-01 11:00:00,947.567805473191,0
2020-01-01 12:00:00,946.3644820989477,0
2020-01-01 13:00:00,849.0697010175359,0
2020-01-01 14:00:00,867.3845180395833,0
2020-01-01 15:00:00,931.5041479682114,0
2020-01-01 16:00:00,878.2526098306597,0
2020-01-01 17:00:00,855.3921755755484,0
2020-01-01 18:00:00,868.9696385603196,0
2020-01-01 19:00:00,896.9540334215202,0
2020-01-01 20:00:00,1003.1456062375914,0
2020-01-01 21:00:00,924.7143664761139,0
2020-01-01 22:00:00,913.7354672340025,0
2020-01-01 23:00:00,838.4123063399195,0
2020-01-02 00:00:00,938.6296271227411,0
2020-01-02 01:00:00,982.1137412245724,0
2020-01-02 02:00:00,907.9993122050355,0
2020-01-02 03:00:00,815.1453667606014,0
2020-01-02 04:00:00,964.4055644277292,0
2020-01-02 05:00:00,938.7712619624073,0
2020-01-02 06:00:00,894.6017648270526,0
2020-01-02 07:00:00,810.8478341129307,0
2020-01-02 08:00:00,885.4503580475686,0
2020-01-02 09:00:00,915.056807185694,0
2020-01-02 10:00:00,878.3906176104912,0
2020-01-02 11:00:00,936.8591613368625,0
2020-01-02 12:00:00,926.9142951028405,0
2020-01-02 13:00:00,865.9101233002948,0
2020-01-02 14:00:00,965.7423509986324,0
2020-01-02 15:00:00,881.3380122231448,0
2020-01-02 16:00:00,835.3498168011373,0
2020-01-02 17:00:00,871.9544818494179,0
2020-01-02 18:00:00,902.5789430756196,0
2020-01-02 19:00:00,864.1463368229937,0
2020-01-02 20:00:00,967.3818815506629,0
